,0,1,2
0,厌恶/disgust, ,Pemimpin Mongol Timurleng Agung (1336-1405) menghukum mati orang yang memberi lelucon yang sudah pernah dia dengar.
1,厌恶/disgust, ,"Pada awalnya, Kwang Soo tidak suka dengan panggilan jerapah yang diberikan padanya. Namun (+)"
2,开心/happiness, ,Selamat pagi tetap semangat buat yang hari ini bekerja dan yang libur selamat menikmati liburnya
3,惊喜/surprise, ,"""Mengapa terkejut begitu?"" ujar sang puan sembari mengintip apa yang tengah dilihat tuan di hadapannya."
4,开心/happiness, ,"Selamat tahun baru Didi, semoga apa yang belum tercapai tahun lalu akan terpenuhi tahun ini."
5,伤心/sadness,喜欢/like,"Saat jarak memisahkan, satu yang harus kamu ketahui. Akan aku jaga cinta ini untukmu."
6,开心/happiness, ,"Bayangkan kita ingat tahun 2020 ni banyak kereta terbang, sekali duit yang banyak terbang huhuhuhu "
7,伤心/sadness, ,"Janganlah kau menyakiti hatinya , karena itu hal kecil yang dapat membuatmu menyesal seumur hidupmu"
8,生气/anger,厌恶/disgust,"Ketika Allah memberimu awal yang baru, maka jangan mengulanginya dengan kesalahan yang sama ~"
9,生气/anger,厌恶/disgust,Sudahlah apalagi yang kamu harus perjuangkan?toh tidak ada yang mencintai mu rry :)
10,开心/happiness,喜欢/like,"Semoga tahun ini lebih baik lah, di segala bidang, terutama yang di satu itu"
11,开心/happiness, ,"” Berjuanglah pada apa yang sedang kamu perjuangkan, karena tanpa adanya kerja keras semuanya akan sia-sia “"
12,伤心/sadness,生气/anger,"""Tidak ada satupun sifat yang diberikan Tuhan kepada kita, yang tidak pernah berguna."""
13,害怕/fear, ,parasit hanya menempel pada tempat yang membuat ia nyaman. seperti aku dan kamu.
14,伤心/sadness, ,"Ngeliat jakarta pada banjir, kira2 kucing-kucing yang ada disana pada kemana ya? Kasian "
15,喜欢/like,开心/happiness,"Tuhan, mohon pastikanlah aku untuk belajar dan bekerja serajin yang diperlukan untuk mencapai impianku. Aamiin"
16,开心/happiness, ,Mereka menginginkan yang terbaik untuk kita. Kita tau mana yang paling terbaik untuk masa depan kita
17,开心/happiness,喜欢/like,Yang ke-6 malah favorit aku nder  dia kayak menjelaskan semua teka-teki yang ada di film2 sebelumnya
18,厌恶/disgust,害怕/fear,Gapapa banjir + listrik mati yang penting seiman. Ga kafir. Masuk sorga. Kontol.
19,害怕/fear, ,"Kalo lagi banjir gini bukan hanya sampah yang pada keluar, orang goblok juga. Ckck"
20,伤心/sadness, ,"Suatu saat, mungkin tidak ada lagi orang yang bisa diandalkan...  (Jodie Saintemillion)"
21,厌恶/disgust, ,Ini yang pada memaki pak Nasarudin pasti kalau makan nggak pernah pakai sendok :D :D :D
22,开心/happiness, ,"aku aman pau karena posisi di jogja, yang dirumah yang harus sampe naik ke lantai 2 huhu"
23,开心/happiness, ,nampak tak selama ni kau anak yang jahat HAHAHAHAHAH tu dia berpesan jadi anak yang baik
24,开心/happiness, ,"Udah reda tapi jalanan yang mau gw lewatin banjir semua, jadinya balik lg ngejuplek dikamar, Goblokk."
25,开心/happiness,喜欢/like,"Suka banget sama lagu nya, orang nya ganteng-ganteng, halu yang bikin bahagia wkwk"
26,喜欢/like, ,"Romy adalah satu satunya orang yang kupanggil dengan namanya, yang lain ladanan wae yo sat."
27,开心/happiness, ,padahal udah rela rela ngisi pulsa buat smsan ama cewe eh malah operator yang sms -_-
28,开心/happiness,喜欢/like,"Ini pasti satupun ngga ada yang harapan 2020-nya, ""Semoga tidak banjir"". Ini bugs kita guys. "
29,生气/anger, ,Gaes mo nanya ini serius terutama buat yang seangkatan ato kakak² aku mending masuk kedinasan ato kuliah ptn? 
30,喜欢/like, ,"Jangan sampai bangga saat dirimu jadi yang nomor satu, namun bangga lah saat dirimu berguna buat orang lain"
31,惊喜/surprise, ,Ini tentang apa se? Kok bisa gak urut nontonnya? Trus banyak yang suka
32,喜欢/like, ,"Meskipun bermil-mil jarak yang memisahkan, Sahabat tidak pernah terpisah karena persahabatan tidak diukur dengan jarak melainkan dengan hati"
33,伤心/sadness, ,"Aku lagi di tempat temen, sinyal yang bener cuman telkomsel, sisanya susah banget "
34,喜欢/like, ,"@Kkkiiisha tau kada sinetron bahari yang inyatu manusia, beisi robot kawa berubah jadi mobil lawat helikopter?"
35,害怕/fear,生气/anger,Astagfirullah Bang Saka gimana ga panik? Bangun-bangun gelap kirain aku yang buta tiba-tiba.
36,厌恶/disgust, ,"Mas itu kusen pintu mas kok tinggi banget, yang kerendam cuma 25% nya kok mas sampe leher..?"
37,厌恶/disgust, ,Hindari mengaplikasikan trend yg berlebihan ke diri kalian. Karena kalian terkesan tidak memiliki penampilan yang unik & khas.
38,伤心/sadness, ,"Kalo taun baru yang sekarang akunya di nangor kayak taun lalu, bengep kali ya"
39,生气/anger, ,"Kan katanya semua baka indah pada waktunya,terus gue kapan dong dapet yang katanya indah pada waktunya? Hahahahahahahaahhahhahahhaahahahahahahahahahahahahahaahahahahahaahahahahahhaha"
40,惊喜/surprise, ,"Ngerasa aneh sama yang buat ""page 1 of 365"" 2020 tahun kabisat gblk"
41,喜欢/like, ,"coba deh keluar dari zonamu, asik kok ternyata. Ga garing, ga yang diomongin itu itu aja."
42,开心/happiness, ,"Wkwkwk gue pun berpikir hal yang sama, tp kurang 1 jop, gue tetep kuliah ye"
43,喜欢/like,伤心/sadness,"Yang paling kurindukan adalah hangatnya pelukmu yang begitu menenangkan, bahkan ketika tanganmu tak merengkuhku lagi."
44,开心/happiness, ,selamat taun baru juga naya dan semua admin. senang bisa ada di rumah yang nyaman senyaman ige.
45,开心/happiness, ,Terimakasih 2019 apapun yang terjadi di tahun lalu saya tetap mensyukuri. Bismillah #2020HarusOptimis
46,开心/happiness, ,"Pilihan yang bijak bgt kaga jadi hura2 tahun baru ma kengkawan, lebih milih balek kerumahhhh"
47,伤心/sadness, ,Adaapa di awal hari pada tahun baru tiba-tiba teringat dengan nya yang sudah pergi meninggalkan.
48,喜欢/like, ,Makasih kak tapi kalau yang polosan gitu ada gak? :( maap ngerepotin cari2 meme iKON
49,害怕/fear, ,"Kalau kamu berpikir aku nggak takut, kamu salah. Aku takut, lebih dari yang kamu kira."
50,喜欢/like, ,"Film atau series itu? Tentang apa? Untung belum beli paketan, jadi bisa milih yang khusus iflix. "
51,开心/happiness,喜欢/like,"“maka sudahilah sedihmu yang belum sudah, segera mulailah syukurmu yang pasti indah, berbahagialah”"
52,喜欢/like, ,Heechul adalah orang yang sangat baik hati dan selalu melakukan pekerjaannya dengan serius. [K-ELF]
53,喜欢/like, ,"Dari pengunjung yang pernah datang, berapa banyak dari mereka yang tertarik dengan penawaran produk Anda?"
54,伤心/sadness, ,"saya tidak kecil, putih, mungil dan lucu seperti dia yang kamu perhatikan."
55,伤心/sadness, ,"Entah aku yang Bodoh atau gmna ya, masa aku kasih tau ke temen kantor akun alternya "
56,开心/happiness, ,"Semangat nderrr giatin lagi kuliahnyaaa, hilangin yang gak penting dari kehidupanmu nderr pasti bisaa, ayo semangat ya semangatt"
57,生气/anger, ,Tolong lah start sekolah cepat.Aku dah tak larat tgok kebodohan budak sekolah yang semakin menjadi jadi.
58,喜欢/like, ,"Tuhan, damaikanlah aku yang sedang ujian hari ini. Luluskanlah aku dengan baik dan membanggakan orang tuaku. Aamiin"
59,生气/anger, ,we never know. kan mak mak okno selalu ajar masak mesti secukup rasa... apa yang cukup..
60,惊喜/surprise, ,Ara! ada yang mau followan sama aku ga? Rt aja jfb ya.  Wendy
61,开心/happiness, ,"Reniii, semoga cepet surut yaa. Terus semoga keluarga yang di sana baik-baik aj"
62,喜欢/like, ,Sahabat yang sabar dan selalu perhatian atau sahabat yang cool dan suka ngajakin kita buat nyari pacar? #QAwithK3
63,开心/happiness, ,diberkatilah orang yang bisa tidur lebih dari 12 jam. kau mati atau apa hehhhh
64,开心/happiness, ,IYA ! ada yang liat di bali rambutnya blonde :”) mau degdegan dulu
